question_id,question_text,correct_answer,context_text,keywords,answer_POS,answer_concept_type,difficulty_level,distractor_text,distractor_POS,semantic_similarity_to_answer,semantic_similarity_to_question,grammar_score,plausibility_label,error_type
13,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Living,ADJECTIVE,0.69,0.62,0.98,1,
14,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,Marie Curie,UNKNOWN,0.22,0.16,0.96,0,numeric error
15,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Printer,NOUN,0.62,0.56,0.97,1,
16,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Living,ADJECTIVE,0.8,0.76,0.99,1,
17,The process of water turning into vapor is called what?,Evaporation,Evaporation is the process by which water changes from liquid to gas.,"evaporation, water, vapor",NOUN,scientific_process,easy,Boiling,NOUN,0.85,0.82,0.97,1,
18,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,C++,NOUN,0.82,0.76,0.97,1,
19,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Blue,NOUN,0.73,0.65,0.97,1,
20,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Nucleus,NOUN,0.69,0.63,0.99,1,
21,The language that a computer's CPU directly understands is called what?,Machine language,Machine language consists of binary instructions that the CPU can execute directly.,"machine language, binary, CPU",NOUN_PHRASE,language_type,medium,Binary code,NOUN_PHRASE,0.61,0.59,1,1,
22,Which of the following is used to uniquely identify a row in a database table?,Primary key,A primary key uniquely identifies each record in a database table.,"primary key, database, unique identifier",NOUN_PHRASE,database_concept,medium,Composite key,NOUN_PHRASE,0.68,0.62,1,1,
23,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,HTML,NOUN,0.47,0.39,0.99,0,too unrelated
24,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Microphone,NOUN,0.8,0.75,0.98,1,
25,Which of the following is an example of a mammal?,Dog,Mammals are warm-blooded animals that usually have hair and produce milk for their young.,"mammal, dog, animal",NOUN,animal,easy,Horse,NOUN,0.69,0.65,0.97,1,
26,The language that a computer's CPU directly understands is called what?,Machine language,Machine language consists of binary instructions that the CPU can execute directly.,"machine language, binary, CPU",NOUN_PHRASE,language_type,medium,Assembly language,NOUN_PHRASE,0.67,0.65,0.98,1,
27,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,Bill Gates,NOUN,0.7,0.64,0.98,1,
28,Who is known as the Father of the Nation in India?,Mahatma Gandhi,Mahatma Gandhi is widely regarded as the Father of the Nation in India for his role in the independence movement.,"Mahatma Gandhi, Father of the Nation, India",NOUN,person,easy,Leonardo da Vinci,NOUN,0.34,0.29,0.98,0,concept mismatch
29,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Mouse,NOUN,0.74,0.71,0.99,1,
30,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Astrophysics,NOUN,0.76,0.69,0.99,1,
31,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Space Science,NOUN,0.8,0.74,0.99,1,
32,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Keyboard,NOUN,0.4,0.39,0.97,0,concept mismatch
33,CSS is mainly used for what in web development?,Styling web pages,CSS is used to control the appearance and layout of web pages.,"CSS, styling, web design",VERB_PHRASE,technology_usage,easy,Executing programs,VERB_PHRASE,0.49,0.48,0.96,0,numeric error
34,Which of the following is an example of an open-source operating system?,Linux,Linux is a popular open-source operating system used on servers and desktops.,"Linux, open-source, operating system",NOUN,software,easy,Fedora,NOUN,0.81,0.75,1,1,
35,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Cosmology,NOUN,0.66,0.6,1,1,
36,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Crocodile,NOUN,0.65,0.61,0.97,1,
37,Which of the following is an example of an output device?,Monitor,Output devices such as monitors display information to the user.,"output device, monitor, computer hardware",NOUN,hardware,easy,Projector,NOUN,0.68,0.62,1,1,
38,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Watt,NOUN,0.71,0.69,0.98,1,
39,Which layer of the OSI model is responsible for routing packets?,Network layer,The network layer is responsible for routing packets between devices in different networks.,"OSI model, network layer, routing",NOUN_PHRASE,networking_layer,hard,Physical layer,UNKNOWN,0.49,0.47,0.97,0,concept mismatch
40,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Google Cloud,NOUN,0.79,0.71,0.97,1,
41,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,Bill Gates,NOUN,0.76,0.72,0.99,1,
42,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Lizard,NOUN,0.68,0.61,1,1,
43,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,IBM Cloud,NOUN,0.71,0.64,0.97,1,
44,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Central Processor Unit,NOUN_PHRASE,0.73,0.69,0.97,1,
45,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Yellow,NOUN,0.67,0.6,0.98,1,
46,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Watt,NOUN,0.69,0.66,1,1,
47,The process of water turning into vapor is called what?,Evaporation,Evaporation is the process by which water changes from liquid to gas.,"evaporation, water, vapor",NOUN,scientific_process,easy,Melting,NOUN,0.54,0.48,0.97,0,concept mismatch
48,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,John von Neumann,NOUN,0.85,0.79,0.99,1,
49,CSS is mainly used for what in web development?,Styling web pages,CSS is used to control the appearance and layout of web pages.,"CSS, styling, web design",VERB_PHRASE,technology_usage,easy,Storing data,VERB_PHRASE,0.31,0.25,0.99,0,too unrelated
50,Which of the following is a prime number?,13,A prime number has exactly two distinct positive divisors: 1 and itself.,"prime number, 13, mathematics",NUM,number,medium,19,NUM,0.82,0.76,0.98,1,
51,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Writing backend logic,VERB_PHRASE,0.76,0.69,0.97,1,
52,Which of the following is used to uniquely identify a row in a database table?,Primary key,A primary key uniquely identifies each record in a database table.,"primary key, database, unique identifier",NOUN_PHRASE,database_concept,medium,Candidate key,NOUN_PHRASE,0.7,0.64,0.97,1,
53,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Seoul,NOUN,0.22,0.17,0.98,0,too unrelated
54,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,Java,NOUN,0.8,0.76,0.97,1,
55,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Managing databases,VERB_PHRASE,0.31,0.28,0.98,0,concept mismatch
56,The device that connects a local network to the internet is called what?,Router,A router forwards data packets between computer networks and connects to the internet.,"router, network, internet",NOUN,hardware,medium,Gateway,NOUN,0.66,0.6,0.98,1,
57,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,IBM Cloud,NOUN,0.82,0.77,0.97,1,
58,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Joule,NOUN,0.64,0.62,0.96,1,
59,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Botany,NOUN,0.78,0.71,1,1,
60,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Styling web pages,VERB_PHRASE,0.66,0.63,1,1,
61,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Meter,NOUN,0.33,0.25,0.98,0,concept mismatch
62,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Blue,NOUN,0.75,0.71,0.98,1,
63,Which of the following sorting algorithms has average time complexity O(n log n)?,Merge Sort,Merge Sort is a divide-and-conquer sorting algorithm with O(n log n) average time complexity.,"sorting, merge sort, algorithms",NOUN,algorithm,hard,Heap Sort,NOUN,0.76,0.74,0.99,1,
64,Which of the following sorting algorithms has average time complexity O(n log n)?,Merge Sort,Merge Sort is a divide-and-conquer sorting algorithm with O(n log n) average time complexity.,"sorting, merge sort, algorithms",NOUN,algorithm,hard,Tim Sort,NOUN,0.82,0.79,0.97,1,
65,Who is known as the Father of the Nation in India?,Mahatma Gandhi,Mahatma Gandhi is widely regarded as the Father of the Nation in India for his role in the independence movement.,"Mahatma Gandhi, Father of the Nation, India",NOUN,person,easy,Jawaharlal Nehru,NOUN,0.81,0.75,0.96,1,
66,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Google Cloud,NOUN,0.79,0.74,0.98,1,
67,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Zoology,NOUN,0.71,0.65,0.99,1,
68,CSS is mainly used for what in web development?,Styling web pages,CSS is used to control the appearance and layout of web pages.,"CSS, styling, web design",VERB_PHRASE,technology_usage,easy,Encrypting files,VERB_PHRASE,0.49,0.48,0.98,0,numeric error
69,HTML is primarily used for what?,Structuring web pages,HTML is a markup language used to structure content on the web.,"HTML, web pages, markup",VERB_PHRASE,technology_usage,easy,Designing web layout,VERB_PHRASE,0.76,0.73,1,1,
70,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Microphone,NOUN,0.79,0.76,0.97,1,
71,HTTP stands for what?,HyperText Transfer Protocol,HTTP is the protocol used for transferring web pages on the internet.,"HTTP, protocol, web",NOUN_PHRASE,abbreviation_expansion,medium,Hyper Tool Transfer Protocol,NOUN_PHRASE,0.48,0.45,0.98,0,numeric error
72,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Pascal,NOUN,0.63,0.56,1,1,
73,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Red,ADJECTIVE,0.29,0.28,0.99,0,concept mismatch
74,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Water,ADJECTIVE,0.83,0.75,0.96,1,
75,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,Bill Gates,NOUN,0.67,0.64,0.96,1,
76,The long-term storage device inside a computer is commonly known as what?,Hard drive,A hard drive or SSD is used for long-term data storage in a computer.,"hard drive, storage, computer",NOUN,hardware,easy,SSD,NOUN,0.71,0.69,0.97,1,
77,RAM in a computer is also known as what type of memory?,Volatile,RAM is called volatile memory because it loses its data when power is turned off.,"RAM, volatile memory, computer",ADJECTIVE,property,medium,Temporary,ADJECTIVE,0.65,0.59,0.98,1,
78,Which of the following is used to uniquely identify a row in a database table?,Primary key,A primary key uniquely identifies each record in a database table.,"primary key, database, unique identifier",NOUN_PHRASE,database_concept,medium,Unique key,NOUN_PHRASE,0.77,0.7,0.99,1,
79,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,Linux,NOUN,0.84,0.77,1,1,
80,The process by which green plants make their own food is called what?,Photosynthesis,Photosynthesis is the process by which green plants use sunlight to make food from carbon dioxide and water.,"photosynthesis, plants, sunlight",NOUN,scientific_process,easy,Digestion,NOUN,0.23,0.18,0.98,0,concept mismatch
81,What is the largest planet in our solar system?,Jupiter,"Jupiter is the largest planet in our solar system, known for its Great Red Spot.","Jupiter, largest planet, solar system",NOUN,planet,easy,Uranus,NOUN,0.69,0.64,0.97,1,
82,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Hot,ADJECTIVE,0.2,0.15,0.99,0,too unrelated
83,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Botany,NOUN,0.71,0.69,0.97,1,
84,What is the freezing point of pure water in degrees Celsius?,0,"Under standard conditions, pure water freezes at 0 degrees Celsius.","freezing point, water, Celsius",NUM,number,easy,5,NUM,0.72,0.7,0.98,1,
85,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Kyoto,NOUN,0.73,0.68,0.98,1,
86,What is the largest planet in our solar system?,Jupiter,"Jupiter is the largest planet in our solar system, known for its Great Red Spot.","Jupiter, largest planet, solar system",NOUN,planet,easy,Earth,NOUN,0.4,0.31,1,0,too unrelated
87,What is the freezing point of pure water in degrees Celsius?,0,"Under standard conditions, pure water freezes at 0 degrees Celsius.","freezing point, water, Celsius",NUM,number,easy,100,UNKNOWN,0.43,0.34,0.99,0,too unrelated
88,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Green,NOUN,0.74,0.7,1,1,
89,What is the largest planet in our solar system?,Jupiter,"Jupiter is the largest planet in our solar system, known for its Great Red Spot.","Jupiter, largest planet, solar system",NOUN,planet,easy,Saturn,NOUN,0.61,0.53,0.98,1,
90,What is the largest planet in our solar system?,Jupiter,"Jupiter is the largest planet in our solar system, known for its Great Red Spot.","Jupiter, largest planet, solar system",NOUN,planet,easy,Neptune,NOUN,0.64,0.59,0.99,1,
91,The branch of mathematics dealing with shapes and sizes is called what?,Geometry,Geometry is a branch of mathematics that studies the properties of shapes and spaces.,"geometry, shapes, mathematics",NOUN,academic_discipline,medium,Trigonometry,NOUN,0.64,0.58,0.97,1,
92,Which of the following is an example of an input device?,Keyboard,Input devices like keyboards allow users to send data to a computer.,"input device, keyboard, computer hardware",NOUN,hardware,easy,Printer,NOUN,0.32,0.3,0.96,0,too unrelated
93,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,JavaScript,NOUN,0.73,0.65,0.98,1,
94,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Deque,NOUN,0.6,0.58,0.97,1,
95,Which of the following is a high-level programming language?,Python,Python is a popular high-level programming language known for its readability.,"Python, programming language, high level",NOUN,programming_language,easy,HTML,NOUN,0.45,0.37,0.98,0,too unrelated
96,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Joule,NOUN,0.77,0.72,0.99,1,
97,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Economics,NOUN,0.31,0.28,0.98,0,too unrelated
98,Which of the following is an example of a NoSQL database?,MongoDB,MongoDB is a widely used NoSQL document database.,"MongoDB, NoSQL, database",NOUN,software,medium,Redis,NOUN,0.8,0.73,1,1,
99,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Lung,NOUN,0.42,0.33,0.98,0,too unrelated
100,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Zoology,NOUN,0.65,0.58,0.96,1,
101,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,Green,NOUN,0.67,0.61,0.97,1,
102,What is the boiling point of pure water at sea level in degrees Celsius?,100,"At standard atmospheric pressure, pure water boils at 100 degrees Celsius.","boiling point, water, Celsius",NUM,number,easy,105,NUM,0.77,0.73,0.99,1,
103,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Heart,NOUN,0.51,0.46,0.98,0,numeric error
104,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Google Cloud,NOUN,0.72,0.69,0.96,1,
105,Earth is also known as the what planet?,Blue,Earth is often called the Blue Planet because of the vast amount of water on its surface.,"Earth, Blue Planet, nickname",ADJECTIVE,planet_nickname,easy,Water,ADJECTIVE,0.68,0.6,0.99,1,
106,Which layer of the OSI model is responsible for routing packets?,Network layer,The network layer is responsible for routing packets between devices in different networks.,"OSI model, network layer, routing",NOUN_PHRASE,networking_layer,hard,Presentation layer,NOUN_PHRASE,0.33,0.31,0.97,0,too unrelated
107,Which of the following is an example of an open-source operating system?,Linux,Linux is a popular open-source operating system used on servers and desktops.,"Linux, open-source, operating system",NOUN,software,easy,Debian,NOUN,0.72,0.67,0.99,1,
108,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Turtle,NOUN,0.8,0.77,0.97,1,
109,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,Alan Turing,NOUN,0.67,0.59,0.98,1,
110,CPU stands for what?,Central Processing Unit,"CPU stands for Central Processing Unit, which performs most of the processing inside a computer.","CPU, Central Processing Unit, computer",NOUN_PHRASE,abbreviation_expansion,easy,Central Processor Unit,NOUN_PHRASE,0.72,0.69,0.98,1,
111,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,Google,NOUN,0.23,0.17,1,0,too unrelated
112,Who is known as the Father of Computers?,Charles Babbage,Charles Babbage is often called the Father of Computers for his work on early mechanical computing devices.,"Charles Babbage, Father of Computers, history",NOUN,person,medium,John von Neumann,NOUN,0.65,0.58,0.96,1,
113,Which of the following is an example of a NoSQL database?,MongoDB,MongoDB is a widely used NoSQL document database.,"MongoDB, NoSQL, database",NOUN,software,medium,CouchDB,NOUN,0.74,0.67,0.97,1,
114,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Pascal,NOUN,0.73,0.69,0.98,1,
115,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Microsoft Azure,NOUN,0.71,0.67,0.99,1,
116,Which of the following is an example of a mammal?,Dog,Mammals are warm-blooded animals that usually have hair and produce milk for their young.,"mammal, dog, animal",NOUN,animal,easy,Cow,NOUN,0.64,0.61,0.99,1,
117,The study of the stars and space is known as what?,Astronomy,"Astronomy is the scientific study of celestial objects such as stars, planets, and galaxies.","astronomy, stars, space",NOUN,academic_discipline,easy,Cosmology,NOUN,0.7,0.62,0.98,1,
118,Which of the following is used to uniquely identify a row in a database table?,Primary key,A primary key uniquely identifies each record in a database table.,"primary key, database, unique identifier",NOUN_PHRASE,database_concept,medium,Unique key,NOUN_PHRASE,0.64,0.56,0.97,1,
119,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Kyoto,NOUN,0.6,0.54,0.98,1,
120,Which data structure follows the Last In First Out principle?,Stack,A stack is a linear data structure that follows the Last In First Out (LIFO) principle.,"stack, LIFO, data structure",NOUN,data_structure,medium,Loop,NOUN,0.43,0.41,0.99,0,too unrelated
121,Which of the following is an operating system?,Windows,Operating systems like Windows manage computer hardware and software resources.,"operating system, Windows, software",NOUN,software,easy,Linux,NOUN,0.81,0.77,0.96,1,
122,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Zoology,NOUN,0.73,0.65,0.98,1,
123,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Heart,NOUN,0.81,0.76,0.98,1,
124,Which of the following is an example of an open-source operating system?,Linux,Linux is a popular open-source operating system used on servers and desktops.,"Linux, open-source, operating system",NOUN,software,easy,Debian,NOUN,0.78,0.73,0.98,1,
125,Which of the following is a primary color in light?,Red,"Primary colors in light are typically red, green, and blue.","primary color, light, red",NOUN,color,easy,White,NOUN,0.36,0.29,0.97,0,numeric error
126,Which of the following animals is a reptile?,Snake,"Reptiles are cold-blooded vertebrates such as snakes, lizards, and turtles.","reptile, snake, animal",NOUN,animal,easy,Crocodile,NOUN,0.63,0.58,0.99,1,
127,The process by which green plants make their own food is called what?,Photosynthesis,Photosynthesis is the process by which green plants use sunlight to make food from carbon dioxide and water.,"photosynthesis, plants, sunlight",NOUN,scientific_process,easy,Germination,NOUN,0.76,0.69,0.99,1,
128,The branch of mathematics dealing with shapes and sizes is called what?,Geometry,Geometry is a branch of mathematics that studies the properties of shapes and spaces.,"geometry, shapes, mathematics",NOUN,academic_discipline,medium,Chemistry,NOUN,0.37,0.35,0.97,0,too unrelated
129,The powerhouse of the cell is known as what?,Mitochondria,"In cell biology, mitochondria are often called the powerhouse of the cell because they generate energy.","cell, powerhouse, mitochondria",NOUN,cell_component,easy,Heart,NOUN,0.35,0.35,0.98,0,numeric error
130,Which of the following is an example of a mammal?,Dog,Mammals are warm-blooded animals that usually have hair and produce milk for their young.,"mammal, dog, animal",NOUN,animal,easy,Frog,NOUN,0.38,0.33,0.99,0,concept mismatch
131,CPU is also known as the what of the computer?,Brain,The CPU is often called the brain of the computer because it performs most of the processing.,"CPU, brain, computer",NOUN,metaphor,easy,Control Center,NOUN,0.71,0.63,1,1,
132,What is the capital city of Japan?,Tokyo,Tokyo is the capital city and one of the major economic centers of Japan.,"Japan, capital, Tokyo",NOUN,place,easy,Kyoto,NOUN,0.76,0.73,0.97,1,
133,The study of living organisms is called what?,Biology,Biology is the branch of science that studies living organisms and life processes.,"biology, living organisms, life science",NOUN,academic_discipline,easy,Geometry,NOUN,0.38,0.29,0.96,0,too unrelated
134,The SI unit of force is known as what?,Newton,"In physics, the SI unit of force is called the newton, named after Isaac Newton.","SI unit, force, newton",NOUN,unit,medium,Watt,NOUN,0.7,0.63,0.98,1,
135,Which of the following is a cloud computing platform by Amazon?,AWS,Amazon Web Services (AWS) is a popular cloud computing platform.,"AWS, cloud computing, Amazon",NOUN,service,medium,Google Cloud,NOUN,0.62,0.56,0.96,1,
